"symptom","keywords","description_1","medicine_1","doctor_consult_1","food_suggestions_1","lifestyle_suggestions_1","description_2","medicine_2","doctor_consult_2","food_suggestions_2","lifestyle_suggestions_2","description_3","medicine_3","doctor_consult_3","food_suggestions_3","lifestyle_suggestions_3"
"Common Cold","common cold;cold;running nose;nasal congestion;sneezing;stuff nose;nose block;rhinorrhea;coryza;nasal discharge","You have a mild viral infection causing nasal congestion and sneezing. This is usually self-limiting.","Crocin Cold & Flu;Vicks Action 500;steam inhalation","Consult if fever develops or symptoms last beyond 7 days","Hot soups;ginger tea;honey lemon water;turmeric milk","Rest well;stay hydrated;use humidifier;wash hands frequently","Persistent nasal congestion with clear discharge and occasional sneezing. Your body is fighting a viral infection.","Combiflam;Sinarest;warm salt water gargles","See doctor if breathing difficulty or green nasal discharge appears","Vitamin C fruits;warm fluids;chicken soup;garlic","Adequate sleep;avoid cold foods;steam inhalation 2-3 times daily","Severe nasal blockage with thick discharge and facial pressure. You may have developed sinus involvement.","Alex;Montair LC;antibiotics if bacterial infection confirmed","Immediate consultation needed for high fever or severe headache","Light easily digestible foods;avoid dairy;plenty of warm water","Complete rest;avoid smoking/alcohol;use nasal saline drops"
"Fever","fever;high temperature;running temperature;feeling hot;burning up;temp;pyrexia;feverish;have fever;got fever","Your body temperature is slightly elevated indicating immune response to infection.","Paracetamol 500mg every 6-8 hours;Crocin;Calpol","Consult if fever exceeds 101°F for more than 3 days","Plenty of water;electrolyte drinks;coconut water;light soups","Rest adequately;sponge with lukewarm water;wear light clothes","Persistent elevated temperature with body aches and weakness. Your immune system is actively fighting infection.","Dolo 650;Combiflam for associated pain;Ibuprofen","Medical attention needed if fever spikes above 103°F or with rash","Liquid diet;ORS solution;barley water;fruit juices","Monitor temperature every 4 hours;avoid heavy blankets;proper ventilation","High fever with chills and sweating indicating possible serious infection requiring evaluation.","Meftal Forte for high fever;antibiotics if bacterial;IV fluids if needed","Emergency care if fever with stiff neck;confusion or seizures","Only liquids;avoid solid foods;glucose water","Complete bed rest;cold compresses;medical supervision essential"
"Headache","headache;head pain;migraine;cephalgia;head throbbing;tension headache;sinus headache","Mild head discomfort that often resolves with simple measures.","Paracetamol 500mg;Aspirin;Crocin","Consult if headache persists beyond 2 days or is severe","Stay hydrated;caffeine in moderation;almonds;watermelon","Rest in dark room;cold compress on forehead;neck stretches","Recurrent head pain affecting daily activities with pressure sensation.","Ibuprofen 400mg;Combiflam;Migranil for migraines","See doctor if accompanied by vision changes or vomiting","Regular meals;avoid processed foods;ginger tea;spinach","Stress management;proper sleep posture;eye rest from screens","Severe debilitating headache with nausea and light sensitivity suggesting migraine or other conditions.","Suminat for migraines;pain injections;prescription painkillers","Emergency care for sudden severe headache or with neurological symptoms","Light bland foods;avoid aged cheese;chocolate;citrus fruits","Dark quiet room;complete rest;avoid triggers like loud noise"
"Stomach Ache","stomach ache;tummy pain;belly ache;abdominal pain;pet dard;stomach cramps","Mild abdominal discomfort that may be due to indigestion or gas.","Digene;Gelusil;Gas-O-Fast;ENO","Consult if pain is severe or lasts more than 6 hours","Banana;rice;toast;yogurt;ginger tea","Rest;avoid lying down immediately after eating;walk gently","Persistent abdominal discomfort with bloating and gas formation.","Cyclopam;Drotin;Pan 40 for acidity","Medical attention if pain localizes to one area or with fever","BRAT diet;boiled vegetables;clear soups;probiotics","Regular meal times;small frequent meals;avoid tight clothing","Severe abdominal pain with vomiting or inability to pass stool indicating possible emergency.","Buscopan;Rabeprazole;antispasmodics as prescribed","Emergency consultation for severe pain;blood in vomit or stool","Liquid diet only;nothing by mouth if severe vomiting","Complete bed rest;hospitalization may be necessary"
"Cough","cough;khansi;dry cough;wet cough;chesty cough;coughing fits;whooping cough","Occasional coughing that helps clear your airways naturally.","Benadryl syrup;Honitus;cough lozenges","Consult if cough persists beyond 1 week or with breathing difficulty","Honey ginger tea;turmeric milk;warm water;black pepper","Stay hydrated;avoid cold drinks;steam inhalation;rest voice","Persistent cough with phlegm production indicating respiratory tract involvement.","Ascoril;Alex;Mucinex for chesty cough","See doctor if coughing blood or green phlegm","Warm liquids;garlic;tulsi tea;licorice root","Humidifier use;avoid irritants;elevate head while sleeping","Severe coughing spells with chest pain or breathing difficulty suggesting serious infection.","Codeine based cough syrup;bronchodilators;antibiotics","Immediate care for breathing problems or blue lips","Nutrient-rich soft foods;avoid dairy if increases phlegm","Complete rest;avoid smoking;medical monitoring needed"
"Sore Throat","sore throat;throat pain;gala dard;throat irritation;scratchy throat;pharyngitis","Mild throat irritation that often accompanies cold or allergy.","Strepsils;Vicks lozenges;warm salt water gargles","Consult if throat pain prevents swallowing or lasts over 3 days","Warm liquids;honey;turmeric milk;soft foods","Rest voice;avoid cold foods;humidifier;steam inhalation","Persistent throat pain with difficulty swallowing and swollen glands.","Betadine gargle;Hexidine;anti-inflammatory lozenges","Medical attention if white patches seen or with high fever","Cold foods like ice cream;soft cooked vegetables;broths","Voice rest;avoid spicy foods;stay well hydrated","Severe throat pain with inability to swallow liquids or breathing difficulty.","Antibiotics if bacterial;steroid sprays;prescription painkillers","Emergency care for breathing difficulty or drooling","Liquid diet only;nutritional supplements if needed","Complete voice rest;hospitalization for severe cases"
"Acidity","acidity;heartburn;acid reflux;gas;bloating;chest burn;amalpitta","Mild burning sensation in chest after meals due to stomach acid.","Digene;Gelusil;ENO;Pantoprazole","Consult if symptoms occur daily or disturb sleep","Small frequent meals;avoid spicy foods;cold milk;banana","Avoid lying down after meals;elevate head while sleeping","Frequent acid reflux with sour taste in mouth and chest discomfort.","Rantac 150;Omez;Esomeprazole","See doctor if pain radiates to back or with weight loss","Oatmeal;ginger;green vegetables;almonds","Weight management;loose clothing;stress reduction","Severe persistent heartburn with regurgitation affecting daily life and sleep.","Stronger PPIs;prokinetics;endoscopy may be needed","Specialist consultation for chronic symptoms or alarm features","Avoid citrus;tomatoes;chocolate;caffeine;fatty foods","Lifestyle modification essential;smoking cessation mandatory"
"Diarrhea","diarrhea;loose motions;loose stool;stomach upset;frequent bowel;motion loose","Occasional loose stools that may be due to dietary changes.","Electral ORS;Lomotil;Zedott","Consult if diarrhea continues beyond 2 days or with fever","ORS solution;banana;rice water;curd;toast","Rest;frequent hand washing;avoid dairy initially","Persistent watery stools with abdominal cramps and weakness.","Racecadotril;Probiotics;Zinc supplements","Medical attention if signs of dehydration appear","BRAT diet;clear soups;coconut water;boiled potatoes","Oral rehydration;avoid outside food;proper sanitation","Severe diarrhea with dehydration signs like dry mouth and reduced urination.","IV fluids;antibiotics if infectious;hospital care","Emergency for blood in stool;high fever;severe dehydration","Only ORS and clear fluids initially;no solid foods","Complete rest;strict hygiene;medical supervision"
"Back Pain","back pain;backache;spinal pain;lower back pain;waist pain;kamar dard","Mild back discomfort often due to muscle strain or poor posture.","Iodex balm;Volini spray;Ibuprofen 400mg","Consult if pain radiates to legs or lasts over 1 week","Anti-inflammatory foods;calcium rich foods;vitamin D","Proper posture;avoid heavy lifting;gentle stretches","Persistent back pain affecting daily activities and mobility.","Diclofenac gel;Muscle relaxants;Combiflam","See doctor if numbness or weakness in legs develops","Green leafy vegetables;milk;eggs;fish","Core strengthening exercises;ergonomic chair;weight management","Severe debilitating back pain with leg weakness or bladder issues suggesting nerve compression.","Prescription painkillers;physiotherapy;injections","Immediate care for trauma or neurological symptoms","Calcium and vitamin D rich diet;avoid inflammatory foods","Restricted activity;physical therapy;possible surgery"
"Skin Rash","skin rash;redness;itching;skin irritation;allergy;heat rash;chicken skin","Mild skin irritation with redness and slight itching.","Calamine lotion;Cetaphil moisturizer;hydrocortisone cream","Consult if rash spreads rapidly or with fever","Cooling foods;cucumber;watermelon;coconut water","Cool showers;loose cotton clothes;avoid scratching","Spreading rash with intense itching and possible blister formation.","Allegra;Avil;Benadryl for allergies;antifungal creams","Medical attention if rash covers large area or with swelling","Antioxidant rich foods;vitamin C;zinc sources","Identify and avoid triggers;mild soaps;cool compresses","Severe widespread rash with fever;blisters or skin peeling indicating serious condition.","Oral steroids;strong antihistamines;antibiotics","Emergency for difficulty breathing or facial swelling","Hypoallergenic diet;avoid seafood;nuts;spicy foods","Medical supervision;isolation if infectious;hospital care"
"Fatigue","fatigue;tiredness;weakness;low energy;exhaustion;lethargy;no strength","General tiredness that improves with proper rest and nutrition.","Multivitamins;Iron supplements;Vitamin B complex","Consult if fatigue persists beyond 2 weeks despite rest","Energy boosting foods;nuts;dry fruits;whole grains","Regular sleep schedule;mild exercise;stress management","Persistent lack of energy affecting daily functioning and motivation.","Vitamin D supplements;Thyroid medication if needed","Medical evaluation needed to rule out underlying conditions","Iron-rich foods;protein;complex carbohydrates","Paced activities;yoga;meditation;avoid overexertion","Severe debilitating fatigue with other symptoms suggesting chronic illness or deficiency.","Prescription supplements;treatment for underlying cause","Specialist consultation for chronic fatigue syndrome","Balanced nutrient-dense diet;small frequent meals","Complete medical workup;lifestyle modification;therapy"
"Eye Strain","eye strain;tired eyes;computer vision;eye fatigue;dry eyes;vision blur","Mild eye discomfort from prolonged screen time or reading.","Artificial tears;I-Dew eye drops;cooling glasses","Consult if vision changes persist or pain develops","Vitamin A rich foods;carrots;leafy greens;berries","20-20-20 rule;proper lighting;screen distance","Persistent eye discomfort with headache and blurred vision affecting work.","Lubricating eye drops;anti-glare glasses;eye vitamins","Optometrist visit if symptoms interfere with daily activities","Omega-3 foods;fish;walnuts;eggs","Regular breaks;eye exercises;adjust screen brightness","Severe eye strain with persistent pain;double vision or light sensitivity.","Prescription eye drops;vision therapy;special glasses","Immediate care for sudden vision loss or severe pain","Antioxidant rich diet;stay hydrated","Reduce screen time significantly;proper ergonomics"
